age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,satisfaction_group,selection_criteria_list,cca_list
18 - 24,Female,Domestic,SUSS,3,auditory,Medium,Engineering,0.0,Consultant,10,5,8,7,10,10,7,8,9,1,Self-funded,9.5,Commute,Extroverted,1,2,Leadership,2,4,Medium,0,8.333333333333334,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,hands-on,Large,Engineering,1.0,Entrepreneur,1,1,5,3,9,7,6,3,1,1,Scholarship,1.0,On campus,Ambivert,1,2,Academic,2,3,Medium,1,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Medium,Law,0.0,Researcher,9,6,9,10,2,9,6,5,1,0,Family,5.0,Commute,Extroverted,0,20,Community Service,2,2,Low,1,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,visual,Large,Engineering,0.5,Product Manager,2,8,6,10,4,3,4,7,2,1,Loan,2.0,On campus,Extroverted,0,2,Academic,2,5,High,0,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,visual,Large,Business,0.0,Business Analyst,5,1,3,6,2,2,9,5,8,0,Scholarship,6.5,Commute,Ambivert,0,15,Sports,2,3,Medium,1,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,International,SUSS,5,hands-on,Medium,Business,0.0,Business Analyst,8,10,6,2,7,3,9,3,10,0,Loan,9.0,On campus,Ambivert,1,9,Community Service,2,3,Medium,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,reading/writing,Medium,Business,1.0,Product Manager,6,8,1,5,4,9,1,9,8,0,Self-funded,7.0,Commute,Introverted,0,12,Academic,2,5,High,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,auditory,Medium,Business,1.0,Researcher,5,5,4,10,6,7,7,6,6,0,Loan,5.5,Commute,Extroverted,1,8,Academic,2,1,Low,0,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Large,Design,1.0,Consultant,7,5,5,2,6,6,10,6,3,0,Family,5.0,On campus,Extroverted,1,8,Arts,2,5,High,0,7.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Engineering,0.5,Product Manager,1,7,5,5,2,3,4,5,1,1,Self-funded,1.0,Commute,Ambivert,0,5,Community Service,2,4,Medium,0,4.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,5,reading/writing,Medium,Business,1.0,Other,7,2,3,1,1,7,4,10,7,1,Loan,7.0,Commute,Ambivert,1,1,Arts,2,5,High,1,7.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Small,Business,0.0,Business Analyst,2,10,7,3,6,8,4,6,5,0,Family,3.5,Commute,Introverted,1,18,Sports,2,4,Medium,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Medium,Business,0.5,Data Scientist,10,5,2,4,5,10,1,2,8,1,Scholarship,9.0,Commute,Ambivert,0,5,Sports,2,2,Low,1,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,visual,Medium,Arts & Social Sciences,0.5,Business Analyst,10,3,8,5,9,10,10,5,7,0,Self-funded,8.5,Commute,Introverted,1,8,Sports,2,5,High,1,8.333333333333334,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Large,Business,0.0,Product Manager,8,1,1,10,8,1,3,7,6,0,Scholarship,7.0,Commute,Extroverted,1,2,Academic,2,5,High,1,3.6666666666666665,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,reading/writing,Medium,Engineering,0.5,Business Analyst,10,3,6,8,1,1,6,3,1,1,Loan,5.5,Commute,Ambivert,1,14,Arts,2,4,Medium,0,3.3333333333333335,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,3,visual,Small,Design,0.0,Business Analyst,10,1,3,3,1,2,8,5,2,1,Family,6.0,Commute,Extroverted,1,13,Academic,2,2,Low,0,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Medium,Engineering,0.0,Product Manager,10,9,6,9,10,10,4,6,10,1,Scholarship,10.0,Commute,Ambivert,0,1,Leadership,2,1,Low,1,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,3,visual,Medium,Computing,0.5,Data Scientist,7,4,8,9,7,9,6,4,9,1,Loan,8.0,Commute,Extroverted,0,18,Sports,2,3,Medium,0,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,auditory,Large,Computing,0.5,Entrepreneur,1,5,1,1,7,6,9,9,10,0,Self-funded,5.5,Commute,Introverted,1,0,Arts,2,1,Low,0,8.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,reading/writing,Medium,Computing,1.0,Consultant,1,8,8,10,9,3,1,8,3,0,Family,2.0,Commute,Ambivert,1,2,Academic,2,3,Medium,1,4.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Engineering,0.5,Software Engineer,3,1,2,7,7,4,1,6,7,1,Self-funded,5.0,Commute,Introverted,1,8,Community Service,2,1,Low,0,3.6666666666666665,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,reading/writing,Large,Design,0.0,Data Scientist,2,10,8,4,10,9,9,1,9,1,Family,5.5,Commute,Extroverted,0,14,Arts,2,4,Medium,0,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Large,Engineering,0.5,Business Analyst,2,10,6,9,10,10,1,10,8,1,Family,5.0,On campus,Ambivert,1,3,Academic,2,4,Medium,1,7.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Large,Engineering,0.5,Software Engineer,10,7,10,9,4,4,3,8,2,1,Scholarship,6.0,Commute,Ambivert,1,8,Arts,2,3,Medium,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,hands-on,Large,Law,1.0,Business Analyst,10,4,9,9,7,2,3,7,7,0,Family,8.5,Commute,Ambivert,0,16,Sports,2,3,Medium,1,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,auditory,Medium,Arts & Social Sciences,1.0,Business Analyst,6,10,6,10,8,1,4,1,7,1,Loan,6.5,Commute,Ambivert,0,19,Community Service,2,4,Medium,1,2.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Large,Computing,1.0,Consultant,7,9,3,1,9,2,6,2,8,1,Loan,7.5,Commute,Introverted,1,8,Sports,2,1,Low,1,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,4,reading/writing,Large,Business,0.0,Business Analyst,5,1,1,7,10,9,10,9,6,1,Family,5.5,Commute,Ambivert,0,4,Leadership,2,1,Low,1,9.333333333333334,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Medium,Science,0.0,Entrepreneur,10,4,10,9,10,10,4,6,3,1,Family,6.5,Commute,Ambivert,1,18,Sports,2,3,Medium,1,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,visual,Medium,Engineering,1.0,Software Engineer,3,7,7,1,3,4,9,6,5,0,Loan,4.0,Commute,Introverted,0,8,Academic,2,5,High,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Large,Business,0.5,Consultant,9,2,1,2,3,4,3,9,1,1,Scholarship,5.0,On campus,Extroverted,0,2,Sports,2,4,Medium,0,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Science,0.0,Data Scientist,5,2,10,6,7,9,4,5,4,1,Family,4.5,Commute,Introverted,1,0,Academic,2,4,Medium,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,auditory,Large,Science,0.0,Other,9,7,2,8,9,9,6,3,2,0,Scholarship,5.5,Commute,Extroverted,1,7,Academic,2,4,Medium,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Male,Domestic,SUSS,5,auditory,Small,Medicine,0.5,Software Engineer,1,5,10,8,8,3,7,6,3,0,Loan,2.0,Commute,Ambivert,0,3,Academic,2,5,High,1,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,3,visual,Medium,Engineering,0.0,Software Engineer,6,2,6,5,1,8,9,4,6,0,Scholarship,6.0,Commute,Extroverted,1,16,Leadership,2,1,Low,1,7.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,4,hands-on,Medium,Law,0.5,Other,1,6,10,8,5,8,1,5,3,1,Family,2.0,On campus,Ambivert,1,15,Leadership,2,2,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,reading/writing,Medium,Science,1.0,Business Analyst,4,3,7,3,5,6,5,3,6,1,Scholarship,5.0,Commute,Extroverted,1,19,Sports,2,3,Medium,0,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Small,Engineering,1.0,Product Manager,9,4,8,10,10,7,8,8,4,0,Loan,6.5,On campus,Ambivert,1,4,Arts,2,1,Low,1,7.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Small,Business,0.0,Software Engineer,7,4,4,7,5,10,6,3,10,1,Scholarship,8.5,On campus,Introverted,1,10,Community Service,2,1,Low,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Large,Engineering,0.0,Consultant,2,7,9,9,4,1,4,3,9,0,Family,5.5,Commute,Extroverted,0,17,Academic,2,1,Low,0,2.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Male,Domestic,SUSS,4,auditory,Small,Computing,0.5,Researcher,9,5,2,6,7,6,5,5,2,0,Scholarship,5.5,Commute,Extroverted,1,3,Sports,2,5,High,0,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,4,reading/writing,Large,Computing,0.5,Software Engineer,7,4,3,1,7,4,2,1,10,0,Loan,8.5,Commute,Ambivert,0,7,Leadership,2,2,Low,0,2.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Large,Business,1.0,Consultant,7,2,1,5,5,9,4,2,2,0,Loan,4.5,On campus,Introverted,1,17,Sports,2,4,Medium,0,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Science,1.0,Researcher,2,4,3,7,6,3,10,7,8,0,Loan,5.0,On campus,Introverted,0,19,Sports,2,2,Low,0,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Large,Medicine,0.0,Entrepreneur,10,6,8,10,3,9,8,8,2,1,Loan,6.0,Commute,Introverted,0,12,Sports,2,4,Medium,0,8.333333333333334,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,reading/writing,Medium,Business,1.0,Other,4,7,4,9,7,1,3,4,9,0,Self-funded,6.5,Commute,Ambivert,1,1,Arts,2,5,High,0,2.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,International,SUSS,3,visual,Medium,Science,0.5,Consultant,1,2,5,6,1,2,10,8,2,0,Family,1.5,Commute,Introverted,1,20,Arts,2,5,High,1,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,International,SUSS,5,hands-on,Medium,Engineering,0.5,Consultant,6,6,6,1,5,4,10,6,1,0,Scholarship,3.5,Commute,Extroverted,0,19,Arts,2,5,High,0,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Medium,Engineering,1.0,Entrepreneur,7,6,2,4,7,4,2,6,3,0,Family,5.0,Commute,Ambivert,1,14,Leadership,2,2,Low,0,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,visual,Medium,Science,0.0,Software Engineer,8,7,4,2,3,10,9,6,4,0,Family,6.0,Commute,Extroverted,0,7,Community Service,2,4,Medium,1,8.333333333333334,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,reading/writing,Large,Business,0.5,Software Engineer,6,6,10,8,7,2,8,2,2,0,Family,4.0,On campus,Ambivert,1,8,Sports,2,4,Medium,0,4.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,reading/writing,Large,Science,1.0,Data Scientist,7,4,9,7,4,10,8,10,8,0,Loan,7.5,Commute,Extroverted,0,16,Arts,2,5,High,0,9.333333333333334,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,5,hands-on,Medium,Computing,0.5,Researcher,9,10,2,7,9,8,5,6,5,0,Self-funded,7.0,On campus,Ambivert,0,8,Arts,2,4,Medium,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,auditory,Medium,Engineering,0.5,Entrepreneur,8,4,1,2,2,1,10,5,6,1,Self-funded,7.0,Commute,Introverted,0,20,Leadership,2,1,Low,1,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Small,Engineering,0.0,Entrepreneur,4,5,1,9,5,5,4,10,7,1,Loan,5.5,Commute,Ambivert,1,4,Sports,2,3,Medium,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,visual,Large,Computing,1.0,Other,5,5,2,9,3,10,10,2,8,0,Family,6.5,Commute,Ambivert,1,16,Academic,2,2,Low,1,7.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Large,Computing,0.0,Other,7,1,3,6,6,9,3,10,9,0,Family,8.0,Commute,Introverted,1,19,Sports,2,5,High,1,7.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,auditory,Large,Science,0.5,Researcher,8,5,6,6,8,1,10,3,9,1,Self-funded,8.5,On campus,Ambivert,1,12,Arts,2,1,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Medium,Computing,0.0,Consultant,1,4,4,10,4,9,1,9,2,1,Loan,1.5,Commute,Extroverted,0,6,Academic,2,3,Medium,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,reading/writing,Large,Engineering,0.0,Entrepreneur,4,10,9,3,4,8,7,3,10,0,Self-funded,7.0,On campus,Ambivert,0,11,Community Service,2,1,Low,0,6.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Large,Engineering,0.0,Business Analyst,6,7,5,6,6,6,4,2,8,1,Self-funded,7.0,Commute,Ambivert,1,15,Community Service,2,3,Medium,1,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Large,Computing,0.5,Other,9,10,5,6,3,6,2,7,3,1,Self-funded,6.0,Commute,Ambivert,1,14,Leadership,2,4,Medium,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Small,Medicine,1.0,Consultant,8,9,9,5,10,4,6,3,10,1,Self-funded,9.0,On campus,Ambivert,1,10,Arts,2,1,Low,0,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Medium,Engineering,0.5,Software Engineer,3,8,7,1,3,1,5,9,8,1,Family,5.5,On campus,Extroverted,0,15,Arts,2,3,Medium,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,reading/writing,Small,Medicine,0.0,Product Manager,6,6,6,10,9,3,2,4,4,1,Self-funded,5.0,Commute,Ambivert,1,15,Community Service,2,4,Medium,0,3.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Medium,Science,0.5,Consultant,4,8,1,3,2,1,2,5,5,1,Loan,4.5,On campus,Extroverted,1,13,Sports,2,2,Low,0,2.6666666666666665,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Design,0.5,Software Engineer,7,8,5,5,4,8,5,3,10,1,Scholarship,8.5,Commute,Ambivert,0,6,Academic,2,5,High,0,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,auditory,Medium,Law,0.5,Software Engineer,2,2,5,5,5,1,5,7,3,1,Scholarship,2.5,On campus,Introverted,1,12,Academic,2,4,Medium,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Large,Computing,0.5,Researcher,1,5,1,7,8,1,10,2,9,0,Scholarship,5.0,Commute,Ambivert,1,4,Arts,2,2,Low,0,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,visual,Medium,Business,0.0,Researcher,1,6,3,7,1,1,5,8,2,0,Loan,1.5,On campus,Introverted,0,4,Academic,2,5,High,0,4.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Large,Design,1.0,Consultant,5,3,8,5,3,9,6,2,2,1,Family,3.5,Commute,Extroverted,1,20,Leadership,2,3,Medium,1,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Large,Engineering,0.5,Product Manager,6,7,9,3,10,7,8,7,3,1,Self-funded,4.5,Commute,Ambivert,1,1,Leadership,2,5,High,0,7.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Large,Engineering,1.0,Software Engineer,2,1,6,3,5,4,6,3,1,1,Loan,1.5,Commute,Ambivert,0,17,Academic,2,1,Low,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,reading/writing,Large,Medicine,0.0,Data Scientist,4,1,3,7,7,10,5,9,9,0,Self-funded,6.5,Commute,Extroverted,0,6,Sports,2,3,Medium,0,8.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,reading/writing,Large,Engineering,1.0,Consultant,8,2,6,6,9,10,5,9,8,0,Self-funded,8.0,Commute,Ambivert,1,5,Academic,2,3,Medium,1,8.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Business,0.5,Other,8,3,6,5,8,4,8,5,9,0,Self-funded,8.5,Commute,Extroverted,1,16,Arts,2,3,Medium,0,5.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Small,Computing,1.0,Software Engineer,2,6,10,6,6,8,7,3,2,1,Loan,2.0,Commute,Extroverted,0,7,Academic,2,2,Low,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,visual,Medium,Business,0.5,Software Engineer,6,5,1,1,3,2,6,5,1,0,Family,3.5,Commute,Extroverted,1,12,Leadership,2,3,Medium,0,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,hands-on,Medium,Science,0.0,Software Engineer,1,9,4,2,8,6,9,7,2,1,Self-funded,1.5,On campus,Introverted,1,3,Arts,2,2,Low,0,7.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,4,visual,Small,Science,0.0,Software Engineer,1,6,2,6,9,4,3,6,10,1,Self-funded,5.5,On campus,Ambivert,1,6,Leadership,2,3,Medium,1,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,auditory,Large,Engineering,1.0,Data Scientist,5,8,4,5,10,8,5,5,2,1,Scholarship,3.5,Commute,Extroverted,1,6,Academic,2,4,Medium,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Medium,Business,0.0,Entrepreneur,7,9,9,4,8,2,2,6,9,1,Self-funded,8.0,Commute,Extroverted,0,6,Sports,2,3,Medium,0,3.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,hands-on,Large,Engineering,1.0,Other,9,5,6,4,1,1,8,5,4,1,Family,6.5,Commute,Ambivert,0,4,Arts,2,4,Medium,0,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,auditory,Medium,Computing,1.0,Software Engineer,9,6,6,10,7,3,3,9,10,0,Family,9.5,On campus,Introverted,0,18,Community Service,2,2,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,visual,Medium,Law,0.5,Consultant,1,4,3,2,6,10,10,9,2,0,Scholarship,1.5,Commute,Ambivert,1,17,Sports,2,1,Low,1,9.666666666666666,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Large,Business,1.0,Software Engineer,9,9,1,10,3,5,10,4,3,1,Family,6.0,Commute,Ambivert,0,1,Leadership,2,2,Low,0,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,hands-on,Medium,Business,0.0,Other,9,10,4,4,7,2,3,7,9,1,Loan,9.0,Commute,Ambivert,1,4,Academic,2,5,High,0,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
